Name,Author,Download_link
Balyakalasakhi,Vaikom Muhammad Basheer,https://ia903206.us.archive.org/9/items/balyakalasakhi_202005/balyakalasakhi.pdf  
Indulekha,Oyyarathu Chandu Menon,https://ia903106.us.archive.org/13/items/IndulekhafirstNovelOfMalayalam/Indulekha%28first%20novel%20of%20malayalam%29.pdf
Neelavelicham,Vaikom Muhammad Basheer,https://kslc.kerala.gov.in/vayana/res/books/nilavelicham.html 
Mathilukal,Vaikom Muhammad Basheer,https://ia601005.us.archive.org/23/items/20190809_20190809_1631/%E0%B4%AE%E0%B4%A4%E0%B4%BF%E0%B4%B2%E0%B5%81%E0%B4%95%E0%B5%BE.pdf
Dracula,Bram Stoker,https://www.gutenberg.org/ebooks/345
Romeo and Juliet,William Shakespeare,https://www.gutenberg.org/ebooks/1513
The Great Gatsby,F. Scott Fitzgerald,https://www.gutenberg.org/ebooks/64317
Metamorphosis,Franz Kafka,https://www.gutenberg.org/ebooks/5200
Crime and Punishment,Fyodor Dostoyevsky,https://www.gutenberg.org/ebooks/2554
The Brothers Karamazov,Fyodor Dostoyevsky,https://www.gutenberg.org/ebooks/28054
The Adventures of Sherlock Holmes,Arthur Conan Doyle,https://www.gutenberg.org/ebooks/1661
The Hound of the Baskervilles,Arthur Conan Doyle,https://www.gutenberg.org/ebooks/3070
The Return of Sherlock Holmes,Arthur Conan Doyle,https://www.gutenberg.org/ebooks/108
Meditations,Marcus Aurelius,https://www.gutenberg.org/ebooks/2680
On the Origin of Species By Means of Natural Selection,Charles Darwin,https://www.gutenberg.org/ebooks/1228
"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley,https://www.gutenberg.org/ebooks/84
Alice's Adventures in Wonderland,Lewis Carroll,https://www.gutenberg.org/ebooks/11
The Scarlet Letter,Nathaniel Hawthorne,https://www.gutenberg.org/ebooks/33
Pride and Prejudice,Jane Austen,https://www.gutenberg.org/ebooks/1342
Think Complexity,Allen B. Downey,https://greenteapress.com/complexity2/thinkcomplexity2.pdf
Computer Science from the Bottom Up,Ian Wienand,https://www.bottomupcs.com/csbu.pdf
Automate The Boring Stuff,Al Sweigart,https://automatetheboringstuff.com/#toc
Python Data Science Handbook,Jake VanderPlas,https://jakevdp.github.io/PythonDataScienceHandbook/
The Hundred-Page Machine Learning Book,Andriy Burkov,https://themlbook.com/wiki/doku.php
Clean Code,Robert C. Martin,https://thixalongmy.haugiang.gov.vn/media/1175/clean_code.pdf
The Art of Public Speaking,Dale Breckenridge Carnegie,https://www.feedbooks.com/book/3695/the-art-of-public-speaking
